site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Alexanderhütte,Austria,55.17 km,Jun Jul,182,0,0,6,98,Aug:2 Oct:1 May:0 Jul:0 Jun:0 Dec:0 Apr:0 Sep:0 Jan:0 Nov:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.5854%2046.83725&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.5854,46.83725
Hochalm,Austria,147.97 km,May Jul Sep Aug,175,0,5,14,33,Aug:3 Sep:2 May:2 Jul:1 Jun:1 Oct:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.80303%2047.32213&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.80303,47.32213
Grießenkar,Austria,189.43 km,Aug Jul May Jun Apr,174,0,9,40,85,Aug:2 Jun:2 Jul:2 Apr:1 Mar:1 May:1 Nov:0 Feb:0 Sep:0 Oct:0 Jan:0 Dec:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.34977%2047.32407&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.34977,47.32407
Heulantsch,Austria,38.82 km,Nov Oct Jan Mar,170,0,0,0,1,Nov:2 Oct:1 Mar:1 Jan:1 Dec:0 Feb:0 Apr:0 May:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.479017%2047.357283&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.479017,47.357283
Untersberg,Austria,153.63 km,Jul Jun,167,0,4,5,20,Jul:3 Jun:1 Aug:1 May:1 Mar:0 Apr:0 Feb:0 Sep:0 Dec:0 Oct:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.007933%2047.723117&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.007933,47.723117
Brunnkogel,Austria,61.53 km,Jul Aug Jun May Sep Oct,167,0,0,2,13,Jul:3 Aug:2 Sep:1 Jun:1 Oct:1 May:0 Nov:0 Dec:0 Apr:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.62955%2047.827617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.62955,47.827617
Siebenhütten,Austria,211.03 km,May Jun Aug Apr Mar Sep Oct Jul,164,2,9,19,53,Apr:1 Jun:1 May:1 Sep:1 Oct:1 Aug:1 Nov:1 Mar:1 Dec:0 Feb:0 Jul:0 Jan:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.88067%2047.80107&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.88067,47.80107
Ötz,Austria,156.85 km,Apr May,156,0,7,33,64,May:2 Apr:1 Sep:0 Jul:0 Jun:0 Mar:0 Feb:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.91827%2047.20887&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.91827,47.20887
Hoehen,Austria,344.76 km,Apr,153,7,19,28,50,Apr:1 Nov:1 May:1 Oct:1 Dec:0 Jun:0 Mar:0 Sep:0 Feb:0 Aug:0 Jul:0 Jan:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.6868%2047.2183&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.6868,47.2183
Fohnsdorf,Austria,37.28 km,Apr May,153,7,19,28,50,Apr:1 Nov:1 May:1 Oct:1 Dec:0 Jun:0 Mar:0 Sep:0 Feb:0 Aug:0 Jul:0 Jan:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.68097%2047.22042&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.68097,47.22042
