site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Laber - Ober...,Germany,279.03 km,May Jul Jun Apr,317,7,60,102,205,Jul:1 Jun:1 Aug:0 Mar:0 Sep:0 May:0 Feb:0 Apr:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.0984%2047.5853&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.0984,47.5853
Spießer,Germany,153.99 km,May Jun Apr,289,0,7,78,163,Apr:1 Jul:0 May:0 Nov:0 Jan:0 Dec:0 Jun:0 Oct:0 Mar:0 Feb:0 Sep:0 Aug:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.38965%2047.52728&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.38965,47.52728
Sulzberg,Germany,164.95 km,May Apr Jun,277,0,4,17,61,Apr:2 May:1 Aug:1 Jun:1 Jul:1 Mar:0 Sep:0 Dec:0 Nov:0 Oct:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.06278%2047.74468&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.06278,47.74468
Zwiesel Alm,Germany,183.57 km,Apr,242,1,28,89,150,Apr:2 Jun:1 May:0 Mar:0 Sep:0 Aug:0 Jul:0 Nov:0 Oct:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.8181%2047.7477&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.8181,47.7477
Zwieselalm,Germany,205.36 km,Apr,241,1,28,88,149,Apr:2 Jun:1 May:0 Mar:0 Sep:0 Aug:0 Jul:0 Nov:0 Oct:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.81587%2047.74615&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.81587,47.74615
Weiherkopf,Germany,129.3 km,Jun May Aug Apr Sep Jul Feb Mar Oct,202,0,1,11,28,May:1 Jun:1 Apr:0 Mar:0 Sep:0 Jul:0 Feb:0 Aug:0 Dec:0 Jan:0 Nov:0 Oct:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.206778%2047.464285&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.206778,47.464285
Predigtstuhl...,Germany,146.33 km,Jun Apr Jul May,185,2,15,30,63,Jun:1 Mar:0 Jul:0 Apr:0 May:0 Sep:0 Aug:0 Oct:0 Dec:0 Feb:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.8861%2047.6998&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.8861,47.6998
Untersberg,Germany,153.63 km,Jul Jun,166,0,5,7,26,Jul:3 Jun:2 May:1 Aug:1 Mar:0 Apr:0 Feb:0 Sep:0 Dec:0 Oct:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.00728%2047.71528&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.00728,47.71528
Jägerkamp,Germany,121.36 km,Apr,152,0,2,9,39,Aug:1 Jul:1 May:0 Oct:0 Sep:0 Nov:0 Apr:0 Jun:0 Mar:0 Jan:0 Dec:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.8999%2047.6827&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.8999,47.6827
Hochgern,Germany,81.66 km,Nov,124,0,0,5,14,Oct:1 Nov:0 Dec:0 Sep:0 Jul:0 Aug:0 Feb:0 Jan:0 Apr:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.5054%2047.7491&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.5054,47.7491
Jochberg,Germany,27.3 km,Aug Jun Jul,100,0,0,0,2,May:0 Aug:0 Jun:0 Jul:0 Apr:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.3715%2047.6268&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.3715,47.6268
Vogelsang,Germany,49.3 km,Apr,97,0,7,16,47,Jun:1 May:0 Jul:0 Sep:0 Aug:0 Nov:0 Apr:0 Feb:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.0516%2047.7291&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.0516,47.7291
Rampoldplatte,Germany,168.32 km,Jun May Aug Apr Jul Sep Oct Feb Mar Nov,97,0,7,16,47,Jun:1 May:0 Jul:0 Sep:0 Aug:0 Nov:0 Apr:0 Feb:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.04403%2047.72477&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.04403,47.72477
Grünten,Germany,117.77 km,Aug May Jul Apr Jun Sep,97,0,1,4,10,Jul:0 Jun:0 May:0 Oct:0 Sep:0 Apr:0 Dec:0 Aug:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.3133%2047.5628&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.3133,47.5628
Kammeregg,Germany,64.88 km,May Jul Jun,93,0,1,4,10,Jul:0 Jun:0 May:0 Oct:0 Apr:0 Dec:0 Aug:0 Sep:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.308683%2047.5654&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.308683,47.5654
Nagelspitze,Germany,75.41 km,May Jul Aug,93,0,0,4,23,Aug:1 Jul:1 May:0 Oct:0 Sep:0 Jun:0 Nov:0 Apr:0 Mar:0 Jan:0 Dec:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.90803%2047.67335&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.90803,47.67335
Ochsenalp,Germany,65.7 km,May Apr Jul Jun Sep,86,0,0,5,36,Apr:0 May:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.39847%2047.50685&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.39847,47.50685
