site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Mijoux,France,63.77 km,Jun Jul Aug Apr May Sep,33,0,0,8,19,Apr:0 Jun:0 Aug:0 Jul:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.01058%2046.3663&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.01058,46.3663
Le Prorel,France,85.8 km,Aug Mar Feb Jan Apr Jul Oct Jun May Sep,32,0,0,3,9,Mar:0 Aug:0 Feb:0 Jul:0 Oct:0 Jan:0 Sep:0 May:0 Dec:0 Apr:0 Jun:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.585767%2044.898983&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.585767,44.898983
Aussois,France,53.6 km,Jan Jul Feb Dec Jun Nov Mar Aug Sep,30,0,0,1,13,Jan:0 Feb:0 Dec:0 Jul:0 Mar:0 Nov:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.736983%2045.254183&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.736983,45.254183
Métabief,France,75.79 km,Jul Aug Jun Sep May,29,0,0,1,8,Jul:1 Aug:0 Jun:0 Sep:0 May:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.35718%2046.76045&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.35718,46.76045
Grand Ratz,France,155.7 km,Aug Jul Jun Oct Sep Mar Apr May,29,0,1,1,4,Oct:0 Aug:0 Jul:0 Sep:0 Jun:0 Mar:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.63592%2045.3266&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.63592,45.3266
Le Mont d'Or,France,141.05 km,Jun May Aug Sep Jul Nov,29,0,1,3,6,Jun:0 Aug:0 May:0 Jul:0 Nov:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.357277%2046.730052&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.357277,46.730052
Bozel,France,46.04 km,Aug Jul Sep Jun,28,0,0,0,11,Jul:0 Aug:0 Sep:0 Jun:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.63942%2045.48505&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.63942,45.48505
Saint Pierre...,France,54.78 km,Sep Jun Mar Apr Jul,26,0,0,1,4,Sep:0 Mar:0 Jun:0 Apr:0 Feb:0 Aug:0 Jul:0 Oct:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.3789%2045.1223&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.3789,45.1223
Beaurevers,France,42.24 km,Feb,24,0,0,0,6,Feb:1 Mar:0 Jan:0 Dec:0 Nov:0 Oct:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.33003%2045.37137&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.33003,45.37137
Lesches-en-D...,France,194.61 km,Aug Mar Jun Sep Apr Feb Jul May,23,0,4,7,12,Mar:0 Aug:0 Jun:0 Apr:0 May:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.54297%2044.60862&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.54297,44.60862
Grammont,France,9.57 km,Jul Oct Jun Aug Sep,21,0,0,1,2,Jul:0 Aug:0 May:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.724917%2046.380317&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.724917,46.380317
Courchevel,France,17.56 km,Aug,20,0,0,0,0,Aug:1 Jun:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.61472%2045.41095&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.61472,45.41095
Roche de Mio,France,188.9 km,Apr Dec Jan Aug Mar Jul May,20,0,2,2,4,Dec:0 Jun:0 Apr:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.73025%2045.4899&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.73025,45.4899
Fort de la P...,France,220.73 km,Jun Apr May,19,1,7,14,16,Jun:0 May:0 Apr:0 Oct:0 Sep:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.74448%2045.63733&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.74448,45.63733
