site,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
La Coma del ...,36.59 km,Oct,18,0,0,0,2,Oct:0 Aug:0 Dec:0 Jul:0 Nov:0 Jan:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.183717%2042.397483&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.183717,42.397483
pla d'adet,84.45 km,Aug,18,0,0,3,3,Aug:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.29827%2042.8137&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.29827,42.8137
Pla d'adet (...,7.05 km,Aug,18,0,0,3,3,Aug:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.29838%2042.8135&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.29838,42.8135
Pla d'Adet,11.98 km,Jul Aug,18,0,0,3,3,Aug:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.29812%2042.81357&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.29812,42.81357
Plat d'...,4.1 km,Aug,18,0,0,3,3,Aug:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.2999%2042.816&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.2999,42.816
Moulis,72.46 km,Jun May Sep Apr Aug Oct,17,0,0,2,8,Sep:0 Apr:0 May:0 Jun:0 Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.101012%2042.95216&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.101012,42.95216
Guardador de...,12.3 km,Jun,17,0,0,1,2,Jun:0 Apr:0 Jan:0 Sep:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.92342%2042.70947&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.92342,42.70947
Mirador Beret,2.61 km,Jun,17,0,0,1,2,Jun:0 Apr:0 Jan:0 Sep:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.922167%2042.708983&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.922167,42.708983
Vallee du lo...,24.99 km,Apr Jun,16,0,0,2,4,Oct:0 Nov:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.45085%2042.7721&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.45085,42.7721
garin,23.15 km,May,16,0,1,2,4,Sep:0 May:0 Aug:0 Jun:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.488733%2042.799&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.488733,42.799
