site,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Ager,196.37 km,Jul Aug Jun,9818,1,447,2706,5739,Aug:24 Jul:21 Sep:20 Jun:16 Oct:14 May:12 Apr:10 Mar:8 Dec:5 Feb:5 Nov:3 Jan:2,128,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.74792%2042.04545&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.74792,42.04545
Bellmunt,182.49 km,Apr,3488,0,22,134,1007,Aug:9 Jul:9 Apr:9 Sep:8 May:8 Mar:7 Jun:7 Feb:7 Oct:7 Dec:3 Nov:3 Jan:2,75,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.2936%2042.099933&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.2936,42.099933
Queralt,177.56 km,Apr Jun May Jul Aug Mar Sep,1856,0,66,326,945,Jun:10 Jul:9 Aug:9 May:7 Sep:7 Mar:6 Apr:6 Oct:6 Feb:4 Dec:3 Nov:1 Jan:1,65,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.82443%2042.10578&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.82443,42.10578
Castejon de SOS,139.42 km,Jun,1448,1,55,292,624,Aug:13 Jul:9 Sep:6 Jun:4 Oct:3 May:1 Feb:0 Dec:0 Mar:0 Jan:0,34,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.5524%2042.5346&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.5524,42.5346
Organya,182.09 km,May,1246,0,2,44,318,Aug:11 Sep:9 Jul:7 May:6 Jun:6 Apr:5 Oct:4 Mar:2 Feb:2 Nov:1 Dec:0 Jan:0,51,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.32422%2042.22845&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.32422,42.22845
Santa Brigida,65.46 km,Feb,1141,0,0,2,8,Dec:6 Jan:5 Nov:5 Feb:4 Oct:4 Jun:3 Sep:3 Aug:3 Mar:3 Jul:2 May:2 Apr:2,43,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.6126%2042.021633&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.6126,42.021633
Rasos de Peg...,179.55 km,Jun May Apr Mar Sep Aug,877,0,76,275,533,Sep:3 Jun:3 Aug:3 Mar:2 Jul:2 Dec:2 Feb:2 May:2 Apr:2 Jan:1 Oct:1 Nov:1,26,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.763%2042.13295&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.763,42.13295
Castejon de Sos,125.3 km,Aug Jul,795,0,8,54,163,Aug:10 Jul:7 Jun:6 Sep:4 Apr:1 Mar:1 May:1 Oct:1 Feb:1 Dec:0 Nov:0,33,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49965%2042.52392&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49965,42.52392
Figuerassa,136.44 km,Sep Apr Jul Mar Aug Jun May Feb Oct Dec,793,0,7,27,145,Jul:5 Jun:5 Dec:4 Sep:4 Aug:4 Mar:3 Oct:3 Apr:3 Feb:3 Jan:3 Nov:2 May:2,42,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.823967%2042.121617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.823967,42.121617
Arangoiti,242.56 km,Jun Aug Jul,638,2,38,245,510,Jul:2 Aug:2 Jun:1 Sep:1 Apr:1 Mar:0 May:0 Oct:0 Feb:0 Jan:0 Dec:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.187717%2042.64495&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.187717,42.64495
2ª Maria,111.25 km,Apr Mar May Feb Sep,558,0,1,52,209,Mar:5 Apr:3 Sep:3 Jun:3 May:2 Feb:2 Jul:2 Aug:2 Oct:0 Jan:0 Nov:0 Dec:0,24,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.79653%2042.08085&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.79653,42.08085
5ª Maria,136.56 km,Feb May Jun Mar Aug Jul Apr Sep,533,0,2,12,153,Jun:3 Feb:2 Aug:2 Dec:2 Jul:1 Apr:1 Mar:1 Oct:1 Sep:1 May:1 Nov:1 Jan:1,18,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.74813%2042.06517&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.74813,42.06517
Mauroux,233.29 km,Jun Aug,325,2,6,40,106,Aug:3 Jun:2 Jul:1 Oct:1 Sep:1 May:0 Dec:0 Apr:0 Nov:0 Jan:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.98945%2042.510267&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.98945,42.510267
Mauroux (Pic...,73.03 km,Jun May Sep,324,2,6,40,105,Aug:3 Jun:2 Jul:1 Oct:1 Sep:1 May:0 Apr:0 Nov:0 Dec:0 Jan:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.988%2042.51&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.988,42.51
Canalda,103.56 km,Sep,306,0,1,30,126,Dec:2 Aug:2 Jan:1 Sep:1 Jul:1 Oct:0 Apr:0 Jun:0 Nov:0 Mar:0 Feb:0 May:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.56425%2042.15982&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.56425,42.15982
port del comte,60.1 km,Sep,306,0,1,30,126,Dec:2 Aug:2 Jan:1 Jul:1 Sep:1 Oct:0 Apr:0 Jun:0 Nov:0 Mar:0 Feb:0 May:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.56308%2042.15845&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.56308,42.15845
Port del Comte,39.43 km,Sep,306,0,1,30,126,Dec:2 Aug:2 Jan:1 Sep:1 Jul:1 Oct:0 Apr:0 Jun:0 Nov:0 Mar:0 Feb:0 May:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.56418%2042.15985&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.56418,42.15985
Port del Com...,43.56 km,Sep,306,0,1,30,126,Dec:2 Aug:2 Jan:1 Sep:1 Jul:1 Oct:0 Apr:0 Jun:0 Nov:0 Mar:0 Feb:0 May:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.5642%2042.15993&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.5642,42.15993
Arbas,169.41 km,Apr May Sep Mar Jul Jun Feb Aug,296,0,12,35,147,Apr:4 Sep:2 Jun:2 May:2 Mar:2 Aug:1 Jul:1 Feb:1 Oct:0 Nov:0 Dec:0,17,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.885867%2042.9699&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.885867,42.9699
Ogassa,141.18 km,Apr May Mar Jun Oct Feb Aug Jul Sep,249,0,19,55,140,Oct:1 Jun:1 Feb:1 Sep:1 Apr:1 Aug:1 Mar:1 May:1 Dec:1 Jul:1 Nov:1 Jan:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.285533%2042.281733&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.285533,42.281733
Couraduque,192.21 km,May Sep Apr Aug Mar Jun Jul,249,0,6,31,126,Apr:3 Sep:1 May:1 Mar:1 Aug:1 Jun:1 Jul:0 Feb:0 Oct:0 Nov:0 Dec:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.197108%2042.990465&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.197108,42.990465
Hecho,228.75 km,Jul Aug Apr Jun May Sep Feb Mar Oct,216,1,6,23,44,Aug:1 Jul:1 Apr:1 May:0 Mar:0 Feb:0 Sep:0 Jun:0 Oct:0 Nov:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.72887%2042.74087&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.72887,42.74087
Echo,42.24 km,Jul,213,1,6,23,44,Aug:1 Jul:1 Apr:1 May:0 Mar:0 Feb:0 Sep:0 Jun:0 Oct:0 Nov:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.7358%2042.74677&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.7358,42.74677
El Tozal Gordo,55.4 km,Mar Oct,159,0,0,2,2,Mar:1 May:1 Apr:0 Aug:0 Jun:0 Jul:0 Sep:0 Jan:0 Dec:0 Nov:0 Feb:0 Oct:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.25462%2042.15372&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.25462,42.15372
Accous,54.96 km,Aug Jul Sep Jun May Oct Mar,145,0,0,1,14,Aug:2 Jul:1 Sep:1 Jun:1 Oct:0 May:0 Jan:0 Mar:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.57145%2042.9815&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.57145,42.9815
El Mont,55.77 km,Sep May Oct Jul Aug Nov Jun Apr Mar Feb Dec Jan,129,0,0,2,30,Sep:2 Aug:1 Jul:1 Dec:0 Nov:0 May:0 Apr:0 Oct:0 Mar:0 Feb:0 Jan:0 Jun:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.70787%2042.25803&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.70787,42.25803
Rocacorba,70.87 km,Aug May Jun Jul Sep Mar Jan Apr Nov Feb Oct Dec,110,0,0,4,13,Jun:1 Aug:0 May:0 Jul:0 Mar:0 Feb:0 Nov:0 Sep:0 Jan:0 Dec:0 Apr:0 Oct:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.68665%2042.07142&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.68665,42.07142
Prats,83.87 km,Oct Dec Jun Sep Nov Aug Feb Mar Jul Apr Jan May,110,0,0,3,11,Oct:1 Dec:1 Aug:1 Nov:1 Sep:1 Jun:0 Feb:0 Apr:0 Mar:0 Jan:0 May:0 Jul:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.3728%2042.21308&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.3728,42.21308
Monlora,118.68 km,Jun May Apr Sep Oct Jul Feb Dec Mar Jan Nov Aug,98,0,4,12,25,Jun:0 Apr:0 Dec:0 Oct:0 May:0 Nov:0 Sep:0 Feb:0 Mar:0 Jul:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.922425%2042.132125&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.922425,42.132125
Ayesa,38.67 km,Aug,92,0,1,8,24,Aug:1 Jun:0 May:0 Jul:0 Sep:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.530633%2042.696317&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.530633,42.696317
,7.54 km,May Feb Jun,92,0,1,8,24,Aug:1 Jun:0 May:0 Jul:0 Sep:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.531217%2042.696617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.531217,42.696617
Higa de Monreal,102.26 km,Aug May Feb Jun Jul,92,0,1,8,24,Aug:1 Jun:0 May:0 Jul:0 Sep:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.53045%2042.69603&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.53045,42.69603
monreal,10.93 km,Jul Aug,92,0,1,8,24,Aug:1 Jun:0 May:0 Jul:0 Sep:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.53052%2042.69612&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.53052,42.69612
Higa,52.1 km,May Sep,92,0,1,8,24,Aug:1 Jun:0 May:0 Jul:0 Sep:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.53047%2042.69607&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.53047,42.69607
higa de monreal,17.89 km,May,92,0,1,8,24,Aug:1 Jun:0 May:0 Jul:0 Sep:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.53127%2042.69667&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.53127,42.69667
