site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Amisbühl,Switzerland,168.94 km,Jul May Jun Apr Aug,1755,0,11,92,523,Aug:11 Jul:10 Jun:9 Sep:8 May:8 Apr:6 Oct:6 Nov:4 Dec:2 Mar:1 Feb:0 Jan:0,61,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.82413%2046.71415&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.82413,46.71415
Monte Tamaro,Switzerland,169.28 km,Apr,1551,0,12,50,245,Apr:10 Aug:9 Oct:8 May:8 Jun:8 Sep:8 Jul:7 Nov:1 Mar:0,56,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.89577%2046.11653&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.89577,46.11653
Schwängimatt,Switzerland,428.11 km,Jul May Jun Apr,1486,4,19,230,836,Jul:9 Jun:7 Aug:6 Apr:6 May:5 Mar:3 Sep:3 Oct:1 Nov:0 Feb:0,39,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.67457%2047.28907&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.67457,47.28907
Haldigrat,Switzerland,237.01 km,May Apr Jun,1400,3,119,258,627,Oct:6 Aug:6 Jun:6 Sep:5 Jul:5 Nov:3 Apr:3 Dec:2 Mar:2 May:2 Jan:1 Feb:0,42,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.43948%2046.90252&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.43948,46.90252
Metschstand,Switzerland,166.6 km,Mar Apr Feb Jul Aug,1330,0,5,28,221,Dec:5 Mar:5 Feb:4 Jan:4 Apr:2 Jul:1 Sep:1 Aug:1 Oct:1 Nov:0 Jun:0,25,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.49453%2046.44492&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.49453,46.44492
Tschenten,Switzerland,203.21 km,Mar,1266,1,32,215,608,Mar:11 Feb:6 Jan:5 Jul:3 Aug:2 Jun:2 Sep:2 Dec:1 Apr:1 Oct:0 Nov:0 May:0,33,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.54182%2046.49742&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.54182,46.49742
Pilatus Kulm,Switzerland,344.16 km,Jul Jun Apr May,1242,19,132,230,510,Jul:12 Jun:10 Aug:9 Sep:7 May:6 Apr:3 Oct:2 Mar:1 Nov:1 Dec:1 Feb:0 Jan:0,51,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.253983%2046.979383&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.253983,46.979383
Jakobshorn,Switzerland,173.96 km,Sep Mar Apr Feb Aug,1238,0,7,69,301,Mar:7 Feb:7 Dec:6 Jul:5 Aug:5 Sep:5 Oct:4 Apr:3 Jan:3 Nov:2 Jun:2 May:0,47,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.84598%2046.77298&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.84598,46.77298
Cassons,Switzerland,182.72 km,Jul Aug,1228,0,56,222,567,Aug:8 Sep:7 Jul:6 Oct:3 Mar:2 Feb:1 Jan:1 Jun:1 Dec:0 Nov:0 Apr:0,28,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.261%2046.88023&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.261,46.88023
Hinterrugg,Switzerland,284.36 km,Jul Aug Jun Apr May Mar,1165,2,19,105,601,Aug:9 Jul:8 Jun:4 Sep:4 Oct:4 Mar:3 May:2 Feb:1 Jan:1 Apr:1 Dec:1 Nov:0,37,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.30443%2047.15368&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.30443,47.15368
Jaman,Switzerland,156.7 km,May Jul Jun Aug Apr,1161,0,21,213,707,Aug:8 Jul:8 Jun:7 May:6 Apr:4 Sep:4 Mar:2 Oct:0 Nov:0 Feb:0 Dec:0 Jan:0,38,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.976%2046.441717&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.976,46.441717
Pléiades,Switzerland,208.68 km,Jul Jun Apr May Aug Mar,1135,1,16,106,527,Apr:8 May:8 Jun:7 Jul:6 Aug:4 Mar:3 Sep:3 Oct:1 Feb:1 Nov:0 Dec:0 Jan:0,41,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.90745%2046.4832&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.90745,46.4832
Mäggisseren,Switzerland,232.7 km,Apr May Jun,1124,3,120,353,727,Jun:6 May:5 Apr:5 Aug:5 Jul:4 Sep:2 Nov:1 Oct:0 Mar:0 Jan:0 Dec:0,29,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.61005%2046.58872&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.61005,46.58872
Rütiberg,Switzerland,118.25 km,May Apr,1106,0,1,2,22,Apr:6 May:4 Mar:4 Sep:3 Jun:3 Jul:3 Oct:3 Aug:2 Feb:2 Dec:1 Jan:1 Nov:1,34,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.64462%2047.00203&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.64462,47.00203
Rotmoos,Switzerland,101.66 km,May,1040,0,1,14,116,Jun:4 May:4 Jul:3 Apr:2 Aug:2 Sep:2 Mar:1 Oct:1 Feb:0 Dec:0 Nov:0 Jan:0,22,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.77488%2047.10327&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.77488,47.10327
Hummel,Switzerland,87.33 km,May Jun,1040,0,1,14,116,Jun:4 May:4 Jul:3 Apr:2 Aug:2 Sep:2 Mar:1 Oct:1 Feb:0 Dec:0 Nov:0 Jan:0,22,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.773117%2047.098483&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.773117,47.098483
