site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Monte Panarotta,Italy,136.58 km,May,149,0,8,26,80,Mar:2 Jun:1 Aug:1 Apr:1 May:1 Jul:1 Sep:0 Oct:0 Jan:0 Nov:0 Feb:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.3085%2046.0336&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.3085,46.0336
Monte Baldo,Italy,103.35 km,Aug Jul Sep Jun May,147,0,3,20,118,Aug:3 Jul:2 Sep:2 Jun:1 May:0 Oct:0 Apr:0 Feb:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.867717%2045.756333&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.867717,45.756333
Primiero,Italy,114.17 km,Jun Aug Apr Jul Mar May Sep,146,0,2,22,58,Apr:2 Aug:2 Jun:1 Jul:1 Mar:1 Sep:1 May:1 Nov:0 Jan:0 Oct:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.84702%2046.19503&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.84702,46.19503
Gaiane,Italy,117.7 km,Jun Jul,140,0,3,31,102,Jun:1 Jul:1 Apr:0 Aug:0 Mar:0 Sep:0 May:0 Feb:0 Jan:0 Dec:0 Nov:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.93695%2045.71268&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.93695,45.71268
Piano Quinto,Italy,80.51 km,May Sep Jun Apr Aug Jul,139,0,0,8,60,Jun:2 Aug:2 Sep:1 May:1 Apr:1 Jul:1 Mar:0 Oct:0 Feb:0,19,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.43315%2044.32187&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.43315,44.32187
Cermis,Italy,132.9 km,Mar Apr Aug Jun May Jul Feb Jan Dec Sep,132,0,4,23,66,Mar:3 Apr:1 Aug:1 Jun:0 May:0 Feb:0 Jul:0 Jan:0 Sep:0 Dec:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.50223%2046.25212&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.50223,46.25212
Summano,Italy,91.68 km,May Apr Jun Sep Oct Jul Mar Aug Feb Jan Nov Dec,131,0,0,5,36,May:1 Apr:1 Jul:1 Mar:0 Jun:0 Dec:0 Sep:0 Aug:0 Oct:0 Nov:0 Jan:0 Feb:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.39125%2045.7561&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.39125,45.7561
Alassio,Italy,16.49 km,Jan Dec Nov Oct Mar Feb Apr,130,0,0,0,0,Jan:3 Dec:2 Oct:1 Nov:1 Feb:0 Apr:0 Mar:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.16284%2044.027902&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.16284,44.027902
Monte Summano,Italy,19.67 km,Apr,125,0,0,5,35,May:1 Apr:1 Jul:1 Mar:0 Dec:0 Jun:0 Sep:0 Aug:0 Nov:0 Oct:0 Jan:0 Feb:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.3958%2045.7575&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.3958,45.7575
Glaiten,Italy,136.77 km,Apr,124,0,1,31,72,Apr:2 Mar:1 Oct:0 Feb:0 Jan:0 Jun:0 May:0 Aug:0 Dec:0 Nov:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.242583%2046.826583&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.242583,46.826583
Lagolo,Italy,78.57 km,Jun Jul May Feb Aug Nov Mar Sep Dec Apr,122,0,0,1,11,Jul:1 Jun:1 May:1 Sep:1 Feb:1 Dec:0 Nov:0 Aug:0 Apr:0 Jan:0 Mar:0 Oct:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.01983%2046.03523&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.01983,46.03523
